CRASH_TYPE_CD,Activity_Count,Advance_Count,Before_Count,Termination_Count,Transition_Count,Total_Count
Angle,58,2,6,4,14,12812
Animal,20,0,0,0,2,7630
Backing,39,5,5,1,8,3796
"Fixed Object",195,11,6,13,40,18830
"Head On",12,0,1,0,3,1706
"Left Turn",36,0,4,2,9,5461
"Other Non-Collision",23,2,0,1,4,1434
"Other Non-Vehicle",NULL,NULL,NULL,NULL,NULL,3
"Other Object",36,5,1,4,10,744
Overturning,6,1,0,0,2,824
"Parked Vehicle",29,0,1,3,3,4910
Pedalcycles,2,0,0,0,0,407
Pedestrian,8,0,0,1,1,832
"Rear End",371,87,31,16,155,24231
"Right Turn",16,2,1,5,5,2750
"Sideswipe - Meeting",0,0,1,0,0,67
"Sideswipe - Passing",321,41,21,17,136,13180
Train,NULL,NULL,NULL,NULL,NULL,16
Unknown,7,0,1,1,1,367
